"identificativo_rete";"H_data";"H_norm"
267;1,26185950714291;0,999999999999996
268;0,579380164285695;0,579380164285695
269;0,946394630357186;0,75
270;0,579380164285695;0,579380164285695
271;1;1
272;0,864973520717927;0,590436283308409
273;1;1
274;1,21260161928934;0,82772937677064
275;0;0
276;0;0
277;0,579380164285695;0,579380164285695
278;1,21260161928934;0,82772937677064
279;1,46497352071793;1
281;1,46497352071793;1
282;1,21260161928934;0,82772937677064
283;1,46497352071793;1
284;0,579380164285695;0,579380164285695
285;1,26185950714291;0,999999999999996
286;0,511859507142915;0,405639062229567
289;0,946394630357186;0,75
290;0,579380164285695;0,579380164285695
291;1,4206198357143;0,87104906425515
292;1;1
295;0,410118486306518;0,251462998580061
297;0;0
298;1,21260161928934;0,82772937677064
299;1;1
301;0,581671865717887;0,277528010406445
302;0,960229717860761;0,655458753541285
303;0,511859507142915;0,405639062229567
304;0,960229717860761;0,655458753541285
305;1,36341651393042;0,65051499783199
307;0,946394630357186;0,75
308;0;0
309;0,630929753571457;0,999999999999999
310;2,50787633302135;0,818218504409884
311;0,579380164285695;0,579380164285695
312;0;0
313;1,21030991785715;0,742098128510304
315;1;1
316;1;1
317;1,71958677619046;0,85979338809523
318;0,579380164285695;0,579380164285695
319;0,630929753571457;0,999999999999999
320;1;1
322;0,579380164285695;0,579380164285695
323;1,13092975357146;0,693426403617272
324;1,46497352071793;1
325;1;1
327;0;0
328;0,946394630357186;0,75
329;0,579380164285695;0,579380164285695
330;1;1
331;0,579380164285695;0,579380164285695
333;1,63092975357146;1
335;1,46497352071793;1
336;1,46497352071793;1
337;0,630929753571457;0,999999999999999
338;1,21260161928934;0,82772937677064
339;0,789690082142847;0,484196257020611
340;1;1
342;1,4206198357143;0,87104906425515
344;1;1
345;1;1
348;1;1
349;1;1
351;1,89278926071437;0,999999999999999
353;0;0
355;0;0
356;1,89278926071437;0,999999999999999
358;1,26185950714291;0,999999999999996
360;0;0
361;1;1
362;1;1
363;0,455485915003595;0,310917507082571
364;1,34267232058999;0,758039271119892
365;2,04351917167058;0,875274697956621
366;1,13092975357146;0,693426403617272
367;0,630929753571457;0,999999999999999
368;0,579380164285695;0,579380164285695
369;1,21260161928934;0,82772937677064
