id_sogg;H_norm_sogg
1;0,247174852
2;0
3;1
4;0,484196257
5;Inf
6;0,232140734
7;0,430676558
8;0,5
9;2,321928095
10;0,826165047
11;0
12;0,635486329
13;0,488324507
14;0
15;Inf
16;0,224661574
17;0,224243824
18;0
19;0,729573959
20;1,577324384
21;0,712726391
22;1,028682871
23;0,231542658
24;0,220218789
25;0,355245321
26;1,630929754
27;0,94639463
28;Inf
29;0,946411928
30;0,206908425
31;2,299896391
32;0,276434591
33;0,5
34;0,289064826
35;0,789690082
36;0
37;Inf
38;0
39;1,02378249
40;Inf
41;0,88668288
42;Inf
43;2,213298282
44;0,404462321
45;0,528320834
46;0,289690082
47;1,370950594
48;0
49;0
50;0
51;0,579380164
52; 
53;0,430676558
54;0,630929754
55;0,918295834
56;Inf
57;0,455485915
58;Inf
59;1,918295834
60;0
61;1
62;0,916666667
63;0,646014837
64;Inf
65;0,630325
66;0,613147193
67;Inf
68;0,630929754
69;0
70;0
71;0
72;0,213081822
73;1
74;1,308445064
75;0
76;1,378783493
77;0,623695883
78;3,374548236
79;0
80;0,864973521
81;0,341303097
82;0
83;0,356207187
84;0
85;0,205846832
86;1
87;0,430676558
88;1,244034011
89;Inf
90;0
91;1,237230563
92;2,807354922
93;0,455485915
94;2,251629167
95;0,289064826
96;0,685475297
97;1,351644115
98;0,276434591
99;0,241189974
100;0,646014837
101;0,65203085
102;0,405639062
103;0
104;0
105;1,086415669
106;0
107;0,5
108;0,6730809
109;0
110;Inf
111;1,251629167
112;0,630076615
113;0,613147193
114;1,423794941
115;0,534310781
116;Inf
117;0,430942586
118;0,580279211
119;0
120;0,511859507
121;0,701838731
122;0,5
123;0
124;0,189614078
125;0
126;2,807354922
127;0
128;0
129;2,159989416
130;1,892789261
131;0,584333189
132; 
133; 
134;0
135;1
136;0,650022422
137;0,103594134
138;0,528320834
139;0
140;1,261859507
141;Inf
142;1,096002918
143;0,864357406
144;0
145;0,773705614
146;0,315464877
147;Inf
148;1,130929754
149;0,590015719
150;0,405639062
151;0,702819531
152;0
153;0
154;1,921928095
155;0,459147917
156;1,584962501
157;0
158;0,530356086
159;0
160;0,08068924
161;0,528320834
162;0,1946869
163;0,138682216
164;0,395488489
165;0,455485915
166;1,439173552
167;0,75
168;0,861353116
169;0,721928095
170;0,114740026
171;2,27221916
172;0
173;0,221064729
174;0,579380164
175;0,395488489
176;0,73248676
177;0,959147917
178;0,5
179;0,234100463
180;0
181;0
182;0,201376749
183;1,415437247
184;1
185;0
186;0,163629202
187;0
188;0
189;0,270426041
190;0,828871363
191;0
192;0,527317985
193;0,221064729
194;0,34295098
195;0
196;0,333333333
197;0,48682257
198;3,481714573
199;1,359647263
200;0,811572407
201;2,321928095
202;0,867528411
203;1,496640762
204;0,417209722
205;1
206;Inf
207;0
208;0,737258697
209;0,355418052
210;0
211;0,224243824
