"identificativo_rete";"H_data"
1;0,640617502277259
2;0,178111253971134
3;0
4;0,244219050288216
5;0
6;0,827832488075948
7;0
8;0
9;0,477121254719662
10;0,301029995663981
11;0,301029995663981
12;0,276434590943675
13;1,04052967535655
14;0,301029995663981
15;0,451544993495972
16;0,477121254719662
17;0,276434590943675
18;0,276434590943675
19;0
20;0,477121254719662
21;0,451544993495972
22;0,855638927751531
23;0,451544993495972
24;0,477121254719662
25;0
26;0,57365451864008
27;0,578558006070426
28;0,217322011273649
29;0,301029995663981
31;0,301029995663981
32;0,301029995663981
33;0,301029995663981
34;0,301029995663981
35;0
36;0,276434590943675
38;0,376777922831669
39;0,673080899634839
40;0,217322011273649
41;0
43;0,451544993495972
44;0,276434590943675
45;0,301029995663981
46;0,195676246770295
47;0
48;0,301029995663981
49;0,619764736479346
50;0,276434590943675
51;0
52;0,301029995663981
53;0,301029995663981
54;0,109079989872509
55;0,301029995663981
56;0,301029995663981
57;0,301029995663981
58;0,477121254719662
59;0
60;0,301029995663981
61;0,276434590943675
62;0,565925840363759
63;0
64;0
65;0
66;0,301029995663981
67;0,195676246770295
68;0,301029995663981
69;0,276434590943675
70;0,477121254719662
71;0,477121254719662
72;0,477121254719662
73;0,477121254719662
74;0,276434590943675
75;0
76;0,301029995663981
77;0,301029995663981
78;0,641010469009101
79;0,276434590943675
80;0,477121254719662
81;0,499030285771763
82;1,002016501243
83;0
84;0,276434590943675
85;0,276434590943675
86;0,276434590943675
87;0,477121254719662
88;0,136974867240434
89;0,195676246770295
90;0,319476549204211
91;0
92;0,25081101981162
93;0,301029995663981
94;0,578558006070426
95;0
96;0,928993200383429
97;0,477121254719662
98;0,753555845663337
99;0,244219050288216
100;0,301029995663981
101;0,101534427291224
102;0,301029995663981
103;0,301029995663981
104;0,301029995663981
105;0,301029995663981
106;0,301029995663981
107;0,578558006070426
108;0,698970004336019
109;0
110;0,644120453932392
111;0,301029995663981
113;0,698970004336019
114;0,477121254719662
115;0,698970004336019
116;0,276434590943675
117;0
119;0,451544993495972
120;0,301029995663981
121;0,301029995663981
122;0,477121254719662
123;0
124;0,451544993495972
125;0
126;0,415055189065712
127;0
128;0,499030285771763
131;0,451544993495972
132;0
134;0,301029995663981
135;0,301029995663981
136;0,698970004336019
137;0,301029995663981
138;0,439247291135819
139;0,277528010406445
140;0
141;0
142;0,820451400255333
143;0,301029995663981
144;0,451544993495972
145;0,648912017556075
146;0,301029995663981
147;0,602059991327962
149;0,301029995663981
150;0,451544993495972
151;0
152;0,195676246770295
153;0,477121254719662
154;0
155;0,602059991327962
156;0,477121254719662
157;0,301029995663981
158;0,602059991327962
159;0,458146007804834
160;0,67780791849565
161;0,451544993495972
163;0
169;0,477121254719662
170;0,276434590943675
171;0,390976235365937
172;0,648912017556075
173;0,451544993495972
174;0,578558006070426
176;0,276434590943675
177;0,244219050288216
180;0,707300605431753
182;0,117776048262875
183;0,451544993495972
186;0,301029995663981
187;0,477121254719662
188;0,578558006070426
190;0,301029995663981
191;0
192;0,0687968364833848
194;0,301029995663981
195;0,296944033872681
196;0,511883360978874
198;0,827832488075948
199;0,551850060261059
200;0,451544993495972
201;0,762741150226634
202;0,67780791849565
203;0,435475009183562
204;0,67780791849565
205;0,752574989159953
206;0
207;0,728306536607441
210;0,439247291135819
212;0,577464586607656
215;0,260648813798777
216;0,265294995574122
217;1,04139268515822
220;0,451544993495972
221;0,477121254719662
222;0,477121254719662
223;0,244219050288216
224;0,63616167295955
226;0,468600361897841
228;0,67780791849565
229;0,698970004336019
230;0,65985950715361
232;0,477121254719662
233;0,376777922831669
234;1,04952316910832
238;0
240;0,451544993495972
243;0,778151250383644
244;0,477121254719662
245;0,451544993495972
246;0
247;0,602059991327962
248;0
249;0,312746262217581
250;0,477121254719662
251;0,178111253971134
253;0,276434590943675
254;0,602059991327962
255;0,539590623023812
256;0,698970004336019
259;0,477121254719662
260;0
261;0,244219050288216
262;0,124571284652585
263;0,244219050288216
264;0,451544993495972
266;0,276434590943675
267;0,602059991327962
268;0,276434590943675
269;0,451544993495972
270;0,276434590943675
271;0,477121254719662
272;0,412697251504221
273;0,477121254719662
274;0,578558006070426
275;0
276;0
277;0,276434590943675
278;0,578558006070426
279;0,698970004336019
281;0,698970004336019
282;0,578558006070426
283;0,698970004336019
284;0,276434590943675
285;0,602059991327962
286;0,244219050288216
289;0,451544993495972
290;0,276434590943675
291;0,67780791849565
292;0,477121254719662
295;0,195676246770295
297;0
298;0,578558006070426
299;0,477121254719662
301;0,277528010406445
302;0,458146007804834
303;0,244219050288216
304;0,458146007804834
305;0,650514997831991
307;0,451544993495972
308;0
309;0,301029995663981
310;1,19656110269289
311;0,276434590943675
312;0
313;0,577464586607656
315;0,477121254719662
316;0,477121254719662
317;0,820451400255333
318;0,276434590943675
319;0,301029995663981
320;0,477121254719662
322;0,276434590943675
323;0,539590623023812
324;0,698970004336019
325;0,477121254719662
327;0
328;0,451544993495972
329;0,276434590943675
330;0,477121254719662
331;0,276434590943675
333;0,778151250383644
335;0,698970004336019
336;0,698970004336019
337;0,301029995663981
338;0,578558006070426
339;0,376777922831669
340;0,477121254719662
342;0,67780791849565
344;0,477121254719662
345;0,477121254719662
348;0,477121254719662
349;0,477121254719662
351;0,903089986991944
353;0
355;0
356;0,903089986991944
358;0,602059991327962
360;0
361;0,477121254719662
