"id_net";"sector";"d_agr";"d_altro";"d_comm";"d_ind";"d_serv";"d_tur";"d_multi";"sett_code"
830;"5--6";0;0;0;0;0;0;1;7
831;"0";0;0;0;0;0;0;0;0
832;"4";0;0;0;1;0;0;0;4
833;"1";1;0;0;0;0;0;0;1
834;"5";0;0;0;0;1;0;0;5
835;"4";0;0;0;1;0;0;0;4
836;"5";0;0;0;0;1;0;0;5
837;"4";0;0;0;1;0;0;0;4
838;"5";0;0;0;0;1;0;0;5
839;"5";0;0;0;0;1;0;0;5
840;"1";1;0;0;0;0;0;0;1
841;"4";0;0;0;1;0;0;0;4
842;"4--6";0;0;0;0;0;0;1;7
843;"5";0;0;0;0;1;0;0;5
844;"4";0;0;0;1;0;0;0;4
845;"6";0;0;0;0;0;1;0;6
846;"5";0;0;0;0;1;0;0;5
847;"5";0;0;0;0;1;0;0;5
848;"4";0;0;0;1;0;0;0;4
849;"3--4";0;0;0;0;0;0;1;7
850;"5";0;0;0;0;1;0;0;5
851;"5";0;0;0;0;1;0;0;5
852;"5";0;0;0;0;1;0;0;5
853;"4";0;0;0;1;0;0;0;4
854;"4";0;0;0;1;0;0;0;4
855;"5";0;0;0;0;1;0;0;5
856;"0";0;0;0;0;0;0;0;0
857;"4--5";0;0;0;0;0;0;1;7
858;"0";0;0;0;0;0;0;0;0
859;"4";0;0;0;1;0;0;0;4
860;"6";0;0;0;0;0;1;0;6
861;"6";0;0;0;0;0;1;0;6
862;"4";0;0;0;1;0;0;0;4
863;"4";0;0;0;1;0;0;0;4
864;"4";0;0;0;1;0;0;0;4
865;"5";0;0;0;0;1;0;0;5
866;"5";0;0;0;0;1;0;0;5
867;"4";0;0;0;1;0;0;0;4
868;"1";1;0;0;0;0;0;0;1
869;"3";0;0;1;0;0;0;0;3
870;"6";0;0;0;0;0;1;0;6
871;"4";0;0;0;1;0;0;0;4
872;"6";0;0;0;0;0;1;0;6
873;"5";0;0;0;0;1;0;0;5
874;"4";0;0;0;1;0;0;0;4
875;"3";0;0;1;0;0;0;0;3
876;"5";0;0;0;0;1;0;0;5
877;"5";0;0;0;0;1;0;0;5
878;"0";0;0;0;0;0;0;0;0
879;"5";0;0;0;0;1;0;0;5
880;"5";0;0;0;0;1;0;0;5
881;"4";0;0;0;1;0;0;0;4
882;"5";0;0;0;0;1;0;0;5
883;"4";0;0;0;1;0;0;0;4
884;"1";1;0;0;0;0;0;0;1
885;"4";0;0;0;1;0;0;0;4
886;"5";0;0;0;0;1;0;0;5
887;"5";0;0;0;0;1;0;0;5
888;"4";0;0;0;1;0;0;0;4
889;"4";0;0;0;1;0;0;0;4
890;"4";0;0;0;1;0;0;0;4
891;"5";0;0;0;0;1;0;0;5
892;"5";0;0;0;0;1;0;0;5
893;"4";0;0;0;1;0;0;0;4
894;"5";0;0;0;0;1;0;0;5
895;"5";0;0;0;0;1;0;0;5
896;"5";0;0;0;0;1;0;0;5
897;"3--5";0;0;0;0;0;0;1;7
898;"5";0;0;0;0;1;0;0;5
899;"5";0;0;0;0;1;0;0;5
900;"5--6";0;0;0;0;0;0;1;7
901;"3";0;0;1;0;0;0;0;3
902;"5";0;0;0;0;1;0;0;5
903;"1";1;0;0;0;0;0;0;1
904;"1";1;0;0;0;0;0;0;1
905;"5";0;0;0;0;1;0;0;5
906;"1";1;0;0;0;0;0;0;1
907;"5";0;0;0;0;1;0;0;5
908;"3";0;0;1;0;0;0;0;3
909;"1--5";0;0;0;0;0;0;1;7
910;"5";0;0;0;0;1;0;0;5
911;"5";0;0;0;0;1;0;0;5
912;"3";0;0;1;0;0;0;0;3
913;"4";0;0;0;1;0;0;0;4
