"id_net";"sector";"d_agr";"d_altro";"d_comm";"d_ind";"d_serv";"d_tur";"d_multi";"sett_code"
332;"1";1;0;0;0;0;0;0;1
333;"3";0;0;1;0;0;0;0;3
334;"3";0;0;1;0;0;0;0;3
335;"5";0;0;0;0;1;0;0;5
336;"3";0;0;1;0;0;0;0;3
337;"5";0;0;0;0;1;0;0;5
338;"3";0;0;1;0;0;0;0;3
339;"3--6";0;0;0;0;0;0;1;7
340;"3";0;0;1;0;0;0;0;3
341;"5";0;0;0;0;1;0;0;5
342;"3";0;0;1;0;0;0;0;3
343;"6";0;0;0;0;0;1;0;6
344;"5";0;0;0;0;1;0;0;5
345;"3";0;0;1;0;0;0;0;3
346;"3";0;0;1;0;0;0;0;3
347;"3";0;0;1;0;0;0;0;3
348;"3";0;0;1;0;0;0;0;3
349;"3";0;0;1;0;0;0;0;3
350;"1";1;0;0;0;0;0;0;1
351;"3";0;0;1;0;0;0;0;3
352;"3";0;0;1;0;0;0;0;3
353;"5";0;0;0;0;1;0;0;5
354;"3";0;0;1;0;0;0;0;3
355;"3";0;0;1;0;0;0;0;3
356;"5";0;0;0;0;1;0;0;5
357;"3";0;0;1;0;0;0;0;3
358;"4";0;0;0;1;0;0;0;4
359;"3";0;0;1;0;0;0;0;3
360;"6";0;0;0;0;0;1;0;6
361;"5";0;0;0;0;1;0;0;5
362;"5";0;0;0;0;1;0;0;5
363;"3";0;0;1;0;0;0;0;3
364;"3";0;0;1;0;0;0;0;3
365;"3";0;0;1;0;0;0;0;3
366;"6";0;0;0;0;0;1;0;6
367;"6";0;0;0;0;0;1;0;6
368;"4";0;0;0;1;0;0;0;4
369;"3";0;0;1;0;0;0;0;3
370;"4";0;0;0;1;0;0;0;4
371;"3";0;0;1;0;0;0;0;3
372;"4";0;0;0;1;0;0;0;4
373;"3";0;0;1;0;0;0;0;3
374;"6";0;0;0;0;0;1;0;6
375;"3--4--5";0;0;0;0;0;0;1;7
376;"3";0;0;1;0;0;0;0;3
377;"3";0;0;1;0;0;0;0;3
378;"4--5";0;0;0;0;0;0;1;7
379;"3";0;0;1;0;0;0;0;3
380;"3";0;0;1;0;0;0;0;3
381;"3";0;0;1;0;0;0;0;3
382;"3";0;0;1;0;0;0;0;3
383;"5";0;0;0;0;1;0;0;5
384;"6";0;0;0;0;0;1;0;6
385;"0";0;0;0;0;0;0;0;0
386;"3";0;0;1;0;0;0;0;3
387;"5";0;0;0;0;1;0;0;5
388;"5";0;0;0;0;1;0;0;5
389;"3--5";0;0;0;0;0;0;1;7
390;"3";0;0;1;0;0;0;0;3
391;"3";0;0;1;0;0;0;0;3
392;"5";0;0;0;0;1;0;0;5
393;"5";0;0;0;0;1;0;0;5
