"id_net";"sector"
"311";"INDUSTRIA/ARTIGIANATO"
"312";"SERVIZI"
"313";"INDUSTRIA/ARTIGIANATO"
"315";"INDUSTRIA/ARTIGIANATO"
"316";"SERVIZI"
"317";"INDUSTRIA/ARTIGIANATO"
"318";"SERVIZI"
"319";"COMMERCIO-SERVIZI"
"320";"INDUSTRIA/ARTIGIANATO"
"322";"SERVIZI"
"323";"INDUSTRIA/ARTIGIANATO"
"324";"SERVIZI"
"325";"SERVIZI"
"327";"SERVIZI"
"328";"INDUSTRIA/ARTIGIANATO"
"329";"INDUSTRIA/ARTIGIANATO"
"330";"SERVIZI"
"331";"SERVIZI"
"333";"INDUSTRIA/ARTIGIANATO"
"335";"SERVIZI"
"336";"SERVIZI"
"337";"SERVIZI"
"338";"INDUSTRIA/ARTIGIANATO"
"339";"INDUSTRIA/ARTIGIANATO"
"340";"INDUSTRIA/ARTIGIANATO"
"342";"INDUSTRIA/ARTIGIANATO"
"344";"SERVIZI"
"345";"ALTRO SETTORE-COMMERCIO-SERVIZI"
"348";"COMMERCIO-INDUSTRIA/ARTIGIANATO-SERVIZI"
"349";"INDUSTRIA/ARTIGIANATO"
"351";"SERVIZI"
"353";"SERVIZI"
"355";"INDUSTRIA/ARTIGIANATO"
"356";"SERVIZI"
"358";"INDUSTRIA/ARTIGIANATO"
"360";"SERVIZI"
"361";"SERVIZI"
"362";"COMMERCIO-INDUSTRIA/ARTIGIANATO-SERVIZI"
"363";"INDUSTRIA/ARTIGIANATO"
"364";"INDUSTRIA/ARTIGIANATO"
"365";"INDUSTRIA/ARTIGIANATO"
"366";"INDUSTRIA/ARTIGIANATO"
"367";"COMMERCIO-SERVIZI"
"368";"INDUSTRIA/ARTIGIANATO"
"369";"SERVIZI"
"371";"SERVIZI"
"372";"SERVIZI"
"375";"SERVIZI"
"376";"INDUSTRIA/ARTIGIANATO"
"377";"INDUSTRIA/ARTIGIANATO"
"378";"INDUSTRIA/ARTIGIANATO"
"379";"COMMERCIO"
"380";"INDUSTRIA/ARTIGIANATO"
"382";"INDUSTRIA/ARTIGIANATO"
"383";"SERVIZI"
"384";"SERVIZI"
"385";"AGRICOLTURA/PESCA-COMMERCIO-INDUSTRIA/ARTIGIANATO-SERVIZI"
"386";"COMMERCIO"
"387";"INDUSTRIA/ARTIGIANATO"
"388";"SERVIZI"
"389";"INDUSTRIA/ARTIGIANATO"
"390";"INDUSTRIA/ARTIGIANATO"
"392";"SERVIZI"
"393";"INDUSTRIA/ARTIGIANATO"
"395";"AGRICOLTURA/PESCA"
"397";"SERVIZI"
"399";"INDUSTRIA/ARTIGIANATO"
"400";"ALTRO SETTORE-COMMERCIO-SERVIZI"
"401";"SERVIZI"
"402";"SERVIZI"
"403";"COMMERCIO"
"406";"SERVIZI"
"407";"INDUSTRIA/ARTIGIANATO"
"408";"SERVIZI"
"409";"SERVIZI"
"410";"SERVIZI"
"411";"SERVIZI"
"412";"SERVIZI"
"414";"AGRICOLTURA/PESCA-COMMERCIO-INDUSTRIA/ARTIGIANATO"
"416";"SERVIZI"
"417";"INDUSTRIA/ARTIGIANATO"
"418";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"419";"SERVIZI"
"420";"SERVIZI"
"421";"SERVIZI"
"422";"INDUSTRIA/ARTIGIANATO"
"423";"SERVIZI"
"425";"COMMERCIO"
"426";"COMMERCIO"
"428";"AGRICOLTURA/PESCA"
"429";"SERVIZI"
"430";"INDUSTRIA/ARTIGIANATO"
"431";"INDUSTRIA/ARTIGIANATO"
"432";"SERVIZI"
"433";"SERVIZI"
"434";"INDUSTRIA/ARTIGIANATO"
"435";"INDUSTRIA/ARTIGIANATO"
"437";"INDUSTRIA/ARTIGIANATO"
"439";"SERVIZI"
"440";"SERVIZI"
"441";"INDUSTRIA/ARTIGIANATO"
"442";"INDUSTRIA/ARTIGIANATO"
"443";"COMMERCIO"
"445";"SERVIZI"
"446";"INDUSTRIA/ARTIGIANATO"
"448";"INDUSTRIA/ARTIGIANATO"
"450";"INDUSTRIA/ARTIGIANATO"
"451";"SERVIZI"
"452";"INDUSTRIA/ARTIGIANATO"
"453";"SERVIZI"
"454";"SERVIZI"
"456";"INDUSTRIA/ARTIGIANATO"
"458";"INDUSTRIA/ARTIGIANATO"
"459";"INDUSTRIA/ARTIGIANATO"
"460";"SERVIZI"
"461";"SERVIZI"
"462";"SERVIZI"
"464";"COMMERCIO"
"465";"SERVIZI"
"466";"INDUSTRIA/ARTIGIANATO"
"467";"TURISMO"
"468";"COMMERCIO"
"471";"INDUSTRIA/ARTIGIANATO"
"472";"SERVIZI"
"473";"SERVIZI"
"476";"INDUSTRIA/ARTIGIANATO"
"477";"INDUSTRIA/ARTIGIANATO"
"478";"SERVIZI"
"479";"INDUSTRIA/ARTIGIANATO"
"482";"SERVIZI"
"483";"SERVIZI"
"485";"INDUSTRIA/ARTIGIANATO"
"486";"SERVIZI"
"488";"COMMERCIO"
"489";"INDUSTRIA/ARTIGIANATO"
"490";"TURISMO"
"491";"SERVIZI"
"493";"SERVIZI"
"494";"SERVIZI"
"496";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"497";"SERVIZI"
"498";"TURISMO"
"499";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"500";"COMMERCIO-SERVIZI"
"501";"SERVIZI"
"502";"SERVIZI"
"503";"SERVIZI"
"504";"SERVIZI"
"505";"INDUSTRIA/ARTIGIANATO"
"506";"SERVIZI"
"507";"SERVIZI"
"508";"COMMERCIO"
"509";"INDUSTRIA/ARTIGIANATO"
"510";"COMMERCIO-SERVIZI"
"511";"SERVIZI"
"512";"INDUSTRIA/ARTIGIANATO"
"513";"INDUSTRIA/ARTIGIANATO"
"516";"ALTRO SETTORE-COMMERCIO-INDUSTRIA/ARTIGIANATO"
"517";"COMMERCIO"
"518";"SERVIZI"
"519";"INDUSTRIA/ARTIGIANATO"
"520";"SERVIZI"
"521";"AGRICOLTURA/PESCA-ALTRO SETTORE-INDUSTRIA/ARTIGIANATO-SERVIZI"
"522";"SERVIZI"
"524";"INDUSTRIA/ARTIGIANATO"
"525";"COMMERCIO-SERVIZI"
"526";"COMMERCIO"
"528";"SERVIZI"
"529";"INDUSTRIA/ARTIGIANATO"
"530";"INDUSTRIA/ARTIGIANATO"
"531";"INDUSTRIA/ARTIGIANATO"
"534";"COMMERCIO-SERVIZI"
"535";"SERVIZI"
"536";"INDUSTRIA/ARTIGIANATO"
"537";"COMMERCIO"
"538";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"539";"INDUSTRIA/ARTIGIANATO"
"540";"SERVIZI"
"541";"SERVIZI"
"543";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"544";"INDUSTRIA/ARTIGIANATO"
"545";"INDUSTRIA/ARTIGIANATO"
"546";"TURISMO"
"547";"AGRICOLTURA/PESCA"
"549";"INDUSTRIA/ARTIGIANATO"
"550";"COMMERCIO-INDUSTRIA/ARTIGIANATO"
"551";"COMMERCIO"
"552";"INDUSTRIA/ARTIGIANATO"
"553";"INDUSTRIA/ARTIGIANATO"
"554";"AGRICOLTURA/PESCA"
"555";"INDUSTRIA/ARTIGIANATO"
"556";"INDUSTRIA/ARTIGIANATO"
"557";"INDUSTRIA/ARTIGIANATO"
"558";"SERVIZI"
"559";"SERVIZI"
"560";"SERVIZI"
"561";"COMMERCIO-SERVIZI"
"562";"INDUSTRIA/ARTIGIANATO"
"563";"INDUSTRIA/ARTIGIANATO"
"565";"COMMERCIO-SERVIZI"
"567";"INDUSTRIA/ARTIGIANATO"
"568";"AGRICOLTURA/PESCA"
"569";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"570";"AGRICOLTURA/PESCA"
"571";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"572";"SERVIZI"
"574";"INDUSTRIA/ARTIGIANATO"
"575";"INDUSTRIA/ARTIGIANATO"
"576";"AGRICOLTURA/PESCA"
"577";"INDUSTRIA/ARTIGIANATO"
"578";"INDUSTRIA/ARTIGIANATO"
"579";"SERVIZI"
"580";"INDUSTRIA/ARTIGIANATO"
"581";"SERVIZI"
"582";"INDUSTRIA/ARTIGIANATO"
"584";"SERVIZI"
"585";"COMMERCIO"
"586";"INDUSTRIA/ARTIGIANATO"
"588";"INDUSTRIA/ARTIGIANATO"
"589";"INDUSTRIA/ARTIGIANATO"
"592";"INDUSTRIA/ARTIGIANATO"
"593";"SERVIZI-TURISMO"
"594";"INDUSTRIA/ARTIGIANATO"
"596";"INDUSTRIA/ARTIGIANATO"
"599";"AGRICOLTURA/PESCA-SERVIZI"
"600";"SERVIZI"
"601";"SERVIZI"
"602";"SERVIZI"
"603";"SERVIZI"
"604";"ALTRO SETTORE-COMMERCIO"
"605";"SERVIZI"
"606";"SERVIZI"
"607";"INDUSTRIA/ARTIGIANATO"
"608";"SERVIZI"
"609";"SERVIZI"
"611";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"613";"SERVIZI"
"614";"INDUSTRIA/ARTIGIANATO"
"615";"INDUSTRIA/ARTIGIANATO"
"616";"AGRICOLTURA/PESCA-ALTRO SETTORE-INDUSTRIA/ARTIGIANATO-SERVIZI"
"621";"ALTRO SETTORE-COMMERCIO-SERVIZI"
"622";"ALTRO SETTORE-COMMERCIO"
"623";"INDUSTRIA/ARTIGIANATO"
"625";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"626";"INDUSTRIA/ARTIGIANATO"
"628";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"629";"INDUSTRIA/ARTIGIANATO"
"630";"TURISMO"
"631";"INDUSTRIA/ARTIGIANATO"
"637";"SERVIZI"
"638";"SERVIZI"
"640";"SERVIZI"
"641";"COMMERCIO-INDUSTRIA/ARTIGIANATO"
"642";"COMMERCIO"
"643";"SERVIZI"
"644";"INDUSTRIA/ARTIGIANATO"
"647";"INDUSTRIA/ARTIGIANATO"
"648";"COMMERCIO-INDUSTRIA/ARTIGIANATO-SERVIZI"
"649";"COMMERCIO-INDUSTRIA/ARTIGIANATO"
"651";"INDUSTRIA/ARTIGIANATO"
"652";"INDUSTRIA/ARTIGIANATO"
"653";"INDUSTRIA/ARTIGIANATO"
"654";"INDUSTRIA/ARTIGIANATO"
"655";"SERVIZI"
"656";"SERVIZI"
"657";"SERVIZI"
"658";"INDUSTRIA/ARTIGIANATO"
"661";"AGRICOLTURA/PESCA-INDUSTRIA/ARTIGIANATO"
"662";"INDUSTRIA/ARTIGIANATO"
"663";"INDUSTRIA/ARTIGIANATO"
"664";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"665";"SERVIZI"
"666";"SERVIZI"
"667";"INDUSTRIA/ARTIGIANATO"
"668";"INDUSTRIA/ARTIGIANATO"
"669";"INDUSTRIA/ARTIGIANATO"
"670";"INDUSTRIA/ARTIGIANATO"
"671";"COMMERCIO-INDUSTRIA/ARTIGIANATO"
"672";"INDUSTRIA/ARTIGIANATO"
"673";"SERVIZI"
"674";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"676";"INDUSTRIA/ARTIGIANATO"
"677";"SERVIZI"
"678";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"679";"INDUSTRIA/ARTIGIANATO"
"680";"SERVIZI"
"681";"INDUSTRIA/ARTIGIANATO"
"682";"ALTRO SETTORE-COMMERCIO"
"683";"SERVIZI"
"685";"INDUSTRIA/ARTIGIANATO"
"686";"SERVIZI"
"687";"INDUSTRIA/ARTIGIANATO"
"688";"AGRICOLTURA/PESCA"
"689";"INDUSTRIA/ARTIGIANATO"
"690";"INDUSTRIA/ARTIGIANATO"
"691";"INDUSTRIA/ARTIGIANATO"
"692";"INDUSTRIA/ARTIGIANATO"
"694";"INDUSTRIA/ARTIGIANATO"
"695";"INDUSTRIA/ARTIGIANATO"
"696";"SERVIZI"
"697";"INDUSTRIA/ARTIGIANATO"
"698";"ALTRO SETTORE"
"700";"INDUSTRIA/ARTIGIANATO"
"701";"INDUSTRIA/ARTIGIANATO"
"702";"COMMERCIO-INDUSTRIA/ARTIGIANATO-SERVIZI"
"703";"COMMERCIO-INDUSTRIA/ARTIGIANATO"
"704";"INDUSTRIA/ARTIGIANATO"
"705";"INDUSTRIA/ARTIGIANATO"
"706";"SERVIZI"
"707";"INDUSTRIA/ARTIGIANATO"
"708";"INDUSTRIA/ARTIGIANATO"
"709";"SERVIZI"
"710";"INDUSTRIA/ARTIGIANATO"
"711";"SERVIZI"
"713";"COMMERCIO"
"715";"INDUSTRIA/ARTIGIANATO"
"717";"SERVIZI"
"722";"SERVIZI"
"723";"SERVIZI"
"724";"SERVIZI"
"726";"INDUSTRIA/ARTIGIANATO"
"728";"INDUSTRIA/ARTIGIANATO"
"729";"INDUSTRIA/ARTIGIANATO"
"730";"SERVIZI"
"731";"INDUSTRIA/ARTIGIANATO"
"732";"INDUSTRIA/ARTIGIANATO"
"733";"INDUSTRIA/ARTIGIANATO"
"734";"INDUSTRIA/ARTIGIANATO"
"735";"SERVIZI"
"736";"INDUSTRIA/ARTIGIANATO"
"737";"COMMERCIO"
"738";"SERVIZI"
"739";"INDUSTRIA/ARTIGIANATO"
"740";"INDUSTRIA/ARTIGIANATO"
"741";"INDUSTRIA/ARTIGIANATO"
"742";"SERVIZI"
"743";"INDUSTRIA/ARTIGIANATO"
"744";"COMMERCIO"
"745";"INDUSTRIA/ARTIGIANATO"
"746";"SERVIZI"
"747";"INDUSTRIA/ARTIGIANATO"
"748";"INDUSTRIA/ARTIGIANATO"
"749";"INDUSTRIA/ARTIGIANATO"
"750";"INDUSTRIA/ARTIGIANATO"
"753";"SERVIZI"
"756";"INDUSTRIA/ARTIGIANATO"
"757";"SERVIZI"
"758";"INDUSTRIA/ARTIGIANATO"
"759";"SERVIZI"
"760";"SERVIZI"
"761";"INDUSTRIA/ARTIGIANATO"
"762";"SERVIZI"
"764";"SERVIZI"
"765";"SERVIZI"
"766";"INDUSTRIA/ARTIGIANATO"
"767";"INDUSTRIA/ARTIGIANATO"
"769";"SERVIZI"
"770";"INDUSTRIA/ARTIGIANATO"
"771";"SERVIZI"
"772";"INDUSTRIA/ARTIGIANATO"
"773";"INDUSTRIA/ARTIGIANATO"
"774";"SERVIZI"
"775";"SERVIZI"
"776";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"777";"INDUSTRIA/ARTIGIANATO"
"778";"TURISMO"
"779";"SERVIZI"
"780";"INDUSTRIA/ARTIGIANATO"
"781";"SERVIZI"
"782";"INDUSTRIA/ARTIGIANATO"
"783";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"785";"SERVIZI"
"786";"SERVIZI"
"787";"INDUSTRIA/ARTIGIANATO"
"788";"INDUSTRIA/ARTIGIANATO"
"789";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"790";"INDUSTRIA/ARTIGIANATO"
"791";"SERVIZI"
"792";"INDUSTRIA/ARTIGIANATO"
"793";"INDUSTRIA/ARTIGIANATO"
"794";"INDUSTRIA/ARTIGIANATO"
"796";"ALTRO SETTORE-COMMERCIO-SERVIZI"
"799";"SERVIZI"
"801";"INDUSTRIA/ARTIGIANATO"
"802";"INDUSTRIA/ARTIGIANATO"
"803";"INDUSTRIA/ARTIGIANATO"
"804";"INDUSTRIA/ARTIGIANATO"
"805";"SERVIZI"
"806";"INDUSTRIA/ARTIGIANATO"
"807";"SERVIZI"
"810";"SERVIZI"
"812";"INDUSTRIA/ARTIGIANATO"
"813";"SERVIZI"
"814";"INDUSTRIA/ARTIGIANATO"
"815";"SERVIZI"
"817";"INDUSTRIA/ARTIGIANATO"
"818";"ALTRO SETTORE"
"819";"INDUSTRIA/ARTIGIANATO"
"821";"AGRICOLTURA/PESCA"
"822";"AGRICOLTURA/PESCA"
"823";"INDUSTRIA/ARTIGIANATO"
"824";"INDUSTRIA/ARTIGIANATO"
"825";"INDUSTRIA/ARTIGIANATO"
"826";"SERVIZI"
"827";"COMMERCIO"
"828";"INDUSTRIA/ARTIGIANATO"
"830";"SERVIZI"
"831";"SERVIZI"
"832";"SERVIZI"
"833";"SERVIZI"
"835";"INDUSTRIA/ARTIGIANATO"
"836";"INDUSTRIA/ARTIGIANATO"
"838";"SERVIZI"
"839";"SERVIZI"
"840";"INDUSTRIA/ARTIGIANATO"
"841";"INDUSTRIA/ARTIGIANATO"
"842";"INDUSTRIA/ARTIGIANATO"
"843";"INDUSTRIA/ARTIGIANATO"
"844";"SERVIZI"
"845";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"847";"INDUSTRIA/ARTIGIANATO"
"848";"SERVIZI"
"849";"COMMERCIO"
"850";"INDUSTRIA/ARTIGIANATO-SERVIZI"
"851";"INDUSTRIA/ARTIGIANATO"
"852";"INDUSTRIA/ARTIGIANATO"
"853";"INDUSTRIA/ARTIGIANATO"
"854";"INDUSTRIA/ARTIGIANATO"
"856";"SERVIZI"
"857";"SERVIZI"
"858";"AGRICOLTURA/PESCA-INDUSTRIA/ARTIGIANATO"
"859";"SERVIZI"
"860";"INDUSTRIA/ARTIGIANATO"
"861";"INDUSTRIA/ARTIGIANATO"
"862";"SERVIZI"
"863";"AGRICOLTURA/PESCA-COMMERCIO"
"864";"SERVIZI"
"866";"INDUSTRIA/ARTIGIANATO-SERVIZI"
